threshold,precision,recall
0.5265532886486122,0.9185185185185185,0.992
0.5414828929489328,0.9219330855018587,0.992
0.5833391753664032,0.9253731343283582,0.992
0.6075373656763521,0.9288389513108615,0.992
0.6252232529758974,0.9393939393939394,0.992
0.6255179343849433,0.9429657794676806,0.992
0.6680551226801547,0.9465648854961832,0.992
0.848000925780088,0.9501915708812261,0.992
0.856556549094605,0.9538461538461539,0.992
0.8951851878756912,0.9575289575289575,0.992
0.9040861245341588,0.9612403100775194,0.992
0.9372644600720024,0.9649805447470817,0.992
0.9429786153992422,0.96875,0.992
0.9553294601154568,0.9725490196078431,0.992
0.9727100534102401,0.9763779527559056,0.992
0.9751780521272764,0.9802371541501976,0.992
0.9804818172303386,0.9841269841269841,0.992
0.9835485442586895,0.9880478087649402,0.992
0.9866879959624191,0.988,0.988
0.9874399122697027,0.9879518072289156,0.984
0.9875868711911522,0.9879032258064516,0.98
0.9902907258377797,0.9919028340080972,0.98
0.9915497319422636,0.991869918699187,0.976
0.9922329566990845,0.9918367346938776,0.972
0.9925840019900267,0.9959016393442623,0.972
0.9958357551472542,1.0,0.972
0.9966026677560197,1.0,0.968
0.9976926362104366,1.0,0.964
0.9985560327440945,1.0,0.96
0.9987300634631472,1.0,0.952
0.9988764810343435,1.0,0.948
0.9991153013785027,1.0,0.944
0.99943888381361,1.0,0.94
0.9994401782974097,1.0,0.936
0.9996249389653266,1.0,0.932
0.999646463028765,1.0,0.928
0.9996508430037333,1.0,0.924
0.9996837639085759,1.0,0.92
0.9997226475654215,1.0,0.916
0.9997763265281794,1.0,0.912
0.9997861671763391,1.0,0.908
0.9998031898352574,1.0,0.904
0.999825391018893,1.0,0.9
0.9999543369013906,1.0,0.896
0.9999564564013177,1.0,0.892
0.9999775347751744,1.0,0.888
0.9999824984219351,1.0,0.884
0.9999918647213684,1.0,0.88
0.9999927076013564,1.0,0.876
0.9999932603265665,1.0,0.872
0.9999943835991634,1.0,0.868
0.9999945292459758,1.0,0.864
0.9999951082719722,1.0,0.86
0.9999959648904648,1.0,0.856
0.9999960943646473,1.0,0.852
0.9999964321101515,1.0,0.848
0.999996723750831,1.0,0.844
0.9999968287026769,1.0,0.84
0.9999970417015461,1.0,0.836
0.9999971754199061,1.0,0.832
0.9999974156417706,1.0,0.828
0.9999975541300039,1.0,0.824
0.9999976214039388,1.0,0.82
0.9999976929878927,1.0,0.816
0.9999978635700629,1.0,0.812
0.9999979187278276,1.0,0.808
0.999998078018392,1.0,0.804
0.9999980971222459,1.0,0.8
0.9999981268546551,1.0,0.796
0.999998127859378,1.0,0.792
0.9999981469582336,1.0,0.784
0.9999982160518933,1.0,0.78
0.9999982165477654,1.0,0.776
0.9999982520111906,1.0,0.772
0.9999983859522782,1.0,0.768
0.9999985022869416,1.0,0.764
0.9999985133761358,1.0,0.76
0.9999986404526202,1.0,0.756
0.9999986620383232,1.0,0.752
0.999998696074357,1.0,0.748
0.999998751235657,1.0,0.744
0.9999989296303722,1.0,0.74
0.9999989450226446,1.0,0.736
0.9999989576631614,1.0,0.732
0.9999990188277537,1.0,0.728
0.9999990288943514,1.0,0.724
0.999999108025151,1.0,0.712
0.9999991190796912,1.0,0.7
0.9999991929754878,1.0,0.696
0.9999992231153303,1.0,0.692
0.9999992309927143,1.0,0.688
0.9999992434618068,1.0,0.684
0.9999992864199935,1.0,0.68
0.9999994053499239,1.0,0.668
0.9999994209237103,1.0,0.656
0.9999994648148997,1.0,0.652
0.9999994873283448,1.0,0.644
0.999999493682057,1.0,0.636
0.9999995204645625,1.0,0.632
0.9999995242798825,1.0,0.624
0.9999995301756421,1.0,0.62
0.9999995421234585,1.0,0.616
0.9999995540123766,1.0,0.612
0.9999995813852596,1.0,0.608
0.9999995837448724,1.0,0.58
0.9999996115575143,1.0,0.576
0.9999996154962093,1.0,0.556
0.9999996163716132,1.0,0.548
0.9999996182676756,1.0,0.544
0.9999996432098694,1.0,0.54
0.9999996525541457,1.0,0.536
0.9999996947489258,1.0,0.532
0.9999997025878558,1.0,0.528
0.9999997026748736,1.0,0.524
0.9999997063597246,1.0,0.52
0.9999997357237443,1.0,0.516
